product_name,protein_value,fat_value,carbohydrate_value,kcal_value
Берикс,20.29999924,0.8,0,88
Бессмертник,0.200000003,0,5,27
Бестер,21,0.7,0,147
Бефстроганов,21.89999962,27.4,5.7,355
Бефстроганов из говядины,16.70000076,11.3,5.9,193
Бефстроганов из курицы,14.69999981,2,0.4,163
Бефстроганов из свинины,19.39999962,7.1,0,142
Бизонье мясо,21.60000038,1.2,0,109
Биойогурт Deligrande Яблоко Груша 2.8%,3.900000095,2.8,11.5,87
Биойогурт Активиа Виноград Манго Папайя Семена Чиа,4.099999905,2.9,10.8,86
Биойогурт Активиа Клубника Яблоко Питахайя,4.099999905,2.9,10.9,86
Биойогурт Останкинский 2.5%,3.200000048,2.5,8.9,71
Биойогурт Слобода питьевой с грушей и злаками 2%,2.799999952,2,11,73
Биойогурт Слобода с гранолой и изюмом 5%,3.599999905,5,14.3,117
Биойогурт Слобода с клубникой 2.5%,3,2.5,13.6,90
Биойогурт Слобода термостатный двухслойный с цветочным медом 2%,3.5,2,10.5,75
Биойогурт Слобода термостатный двухслойный с черникой 2%,3.599999905,2,15.8,93
Биойогурт Тёма Груша-яблоко,3.200000048,2.8,11.6,84
Биойогурт Тёма Зеленое яблоко,3.200000048,2.8,11.7,85
Биойогурт Тёма Лесные ягоды,3.200000048,2.8,11.5,84
Биойогурт Тёма Шиповник-малина,3.200000048,2.8,12,86
Биокефир Вкуснотеево 1%,3.099999905,1,5.5,43
Биокефир Останкинский 0.1%,3,0.1,3.6,27
Биокефир Тёма детский 3.2%,2.799999952,3.2,4.1,56
Биолакт Сегодня и Всегда продукт кисломолочный Абрикос-Манго,2.799999952,2.5,11,78
Биолакт Тёма питьевой сладкий,2.799999952,3.2,8.3,74
Биолакт ФрутоНяня детский сладкий,2.799999952,3.2,8.2,74
Биолакт ФрутоНяня кисломолочный без сахара,3.099999905,3.4,4.7,62
Биотворог Тёма c черникой,7.900000095,4.2,10.3,111
Биотворог Тёма c черносливом,7.900000095,4.2,10.1,110
Биотворог Тёма классический,9.100000381,5,3.5,95
Биотворог Тёма с абрикосом,7.900000095,4.2,10.4,111
Биотворог Тёма с яблоком и морковью,7.900000095,4.2,10,109
Бисквитник Сдобная особа медовый с вареной сгущенкой,5.300000191,19.6,46.1,378
Бисквитник Сдобная особа с начинкой маракуйя,3.900000095,17.2,51.5,375
